Site name ,Fish identification,Collection Date,Sex,Age (years),Length (mm),Weight (gms),PFOS (ng/ml),PFDA (ng/ml),PFUnA (ng/ml),PFDoA (ng/ml),PFOSA (ng/ml),PFNA (ng/ml),PFBA (ng/ml),PFPeA (ng/ml),PFOA (ng/ml),Total PFAS
Pine Creek,PC-77,4/26/2017,F,7,426,1045,65.9,12.4,11.3,10.5,4,BD,BD,BD,BD,104.1
Pine Creek,PC-78,4/26/2017,M,6,424,1046,144,14.7,26.9,15.7,BD,BD,BD,BD,BD,201.3
Pine Creek,PC-80,4/26/2017,F,4,277,257,72.6,7,14.7,6.5,BD,BD,BD,BD,BD,100.9
Pine Creek,PC-81,4/26/2017,M,6,482,1651,204,20.5,26.4,20.6,1.7,BD,BD,BD,BD,273.2
Pine Creek,PC-82,4/26/2017,F,10,450,1181,86.7,15.2,11.8,10.5,3.6,BD,BD,BD,BD,127.8
Pine Creek,PC-83,4/26/2017,F,6,398,938,58.2,9.7,8.5,6.3,1.7,BD,BD,BD,BD,84.4
Pine Creek,PC-84,4/26/2017,F,6,421,1094,38.3,5.5,8.4,4.9,0.5,BD,BD,BD,BD,57.7
Pine Creek,PC-86,4/26/2017,M,12,430,1287,40.4,6.3,12.7,6.5,BD,BD,BD,BD,BD,66
Pine Creek,PC-87,4/26/2017,M,3,283,279,95.4,11.7,20.7,8.4,BD,BD,BD,BD,BD,136.2
Pine Creek,PC-88,4/26/2017,M,5,362,589,36.6,9.4,10.7,10,3.2,BD,BD,BD,BD,69.8
Pine Creek,PC-95,4/26/2017,F,4,293,320,57.6,5.5,11.6,4.9,BD,BD,BD,BD,BD,79.7
Pine Creek,PC-96,4/26/2017,F,4,292,324,59.4,7.3,11.8,5.2,BD,BD,BD,BD,BD,83.7
Pine Creek,PC-117,5/14/2018,M,2,320,387,71.7,7.7,16.1,7.9,BD,0.6,BD,BD,BD,103.9
Pine Creek,PC-118,5/14/2018,M,5,297,382,53.6,6.5,12,5.6,0.5,0.6,BD,BD,BD,78.8
Pine Creek,PC-119,5/14/2018,M,5,363,696,59.3,9.7,12.5,11.4,3,BD,BD,BD,BD,95.9
Pine Creek,PC-120,5/14/2018,F,5,226,256,43.3,4.6,8.2,3.3,BD,BD,BD,BD,BD,59.4
Pine Creek,PC-121,5/14/2018,M,4,315,405,36.7,5.3,10.9,5.2,BD,BD,BD,BD,BD,58
Pine Creek,PC-122,5/14/2018,M,4,291,351,84.7,7.8,15.3,7.6,BD,0.5,BD,BD,BD,116
Pine Creek,PC-123,5/14/2018,M,4,275,286,51.6,5,10.1,4.6,BD,0.5,BD,BD,BD,71.8
Pine Creek,PC-124,5/14/2018,F,4,218,248,19.7,2.3,3.9,2,BD,BD,BD,BD,BD,27.8
Pine Creek,PC-125,5/14/2018,M,3,318,426,30.1,4.5,9.4,4.9,BD,BD,BD,BD,BD,48.9
Pine Creek,PC-126,5/14/2018,M,5,340,553,61.1,7.5,19.7,11.4,0.8,BD,BD,BD,BD,100.5
Pine Creek,PC-127,5/14/2018,M,5,319,447,206,15,16.6,11.3,0.8,BD,BD,BD,BD,249.7
Pine Creek,PC-128,5/14/2018,M,5,301,288,54.5,4.8,10.4,6.6,BD,BD,BD,BD,BD,76.3
Pine Creek,PC-129,5/14/2018,F,5,279,277,61.9,7.2,10.3,3.7,BD,BD,BD,BD,BD,83.1
Pine Creek,PC-130,5/14/2018,M,5,317,433,36.9,5.7,11.8,6,BD,BD,BD,BD,BD,60.4
