Site name,Fish identification,Collection Date,Sex,Age (years),Length (mm),Weight (gm),PFBA plasma,PFBA liver,PFPeA muscle,PFHxA liver,PFOA blood,PFOA plasma,PFDA blood,PFDA plasma,PFDA muscle,PFDA liver,PFDA gonad,PFUnA blood,PFUnA plasma,PFUnA muscle,PFUnA liver,PFUnA gonad,PFDoA blood,PFDoA plasma,PFDoA muscle,PFDoA liver,PFDoA gonad,PFTrDA blood,PFTrDA plasma,PFTrDA muscle,PFTrDA liver,PFTrDA gonad,PFTeDA blood,PFTeDA plasma,PFTeDA muscle,PFTeDA liver,PFTeDA gonad,PFPeS gonad,PFHxS blood in whole blood,PFHxS plasma,PFHpS blood,PFHpS plasma,PFOS blood,PFOS plasma,PFOS muscle,PFOS liver,PFOS gonad,PFNS blood,PFNS plasma,PFNS muscle,PFNS liver,PFNS gonad,PFDS blood,PFDS plasma,PFDS muscle,PFDS liver,PFDS gonad,FOSA blood,FOSA liver,6:2 FTS blood,6:2 FTS plasma,6:2 FTS liver,6:2 FTS gonad,GEN-X blood,GEN-X plasma,GEN-X muscle,GEN-X liver
Swatara Creek,SWAT-19,10/12/2021,M,ND,450,1362,BD,BD,BD,BD,BD,3.7,8.1,12,BD,2.6,1.8,16,19,0.9,4.6,4,8,6.6,BD,3.2,BD,BD,BD,BD,BD,BD,BD,7.2,BD,BD,BD,BD,BD,BD,BD,BD,77,100,6.4,27,21,BD,BD,BD,BD,BD,BD,2,BD,BD,BD,BD,BD,BD,3.1,BD,3.9,BD,BD,BD,BD
Swatara Creek,SWAT-20,10/12/2021,F,10,486,1819,BD,BD,BD,3.8,BD,BD,17,31,3.2,6.3,6.2,17,24,1.4,5.3,7.1,7.5,6.3,BD,3.5,BD,BD,5.5,BD,BD,BD,BD,6.2,BD,BD,2.8,BD,BD,BD,BD,BD,210,340,28,92,80,BD,BD,BD,BD,BD,3.5,4.2,BD,1.8,1.3,BD,BD,BD,3.3,BD,BD,BD,BD,BD,12
Swatara Creek,SWAT-21,10/12/2021,F,9,485,1545,BD,BD,BD,BD,BD,BD,7.6,17,BD,2.7,3,11,22,BD,4.3,4.9,BD,6,BD,BD,BD,BD,BD,BD,BD,BD,BD,5.4,BD,BD,2,BD,BD,BD,BD,BD,66,160,7.3,35,26,BD,BD,BD,BD,BD,BD,1.7,BD,BD,BD,BD,BD,BD,4.9,BD,4,BD,BD,BD,BD
Swatara Creek,SWAT-22,10/12/2021,F,7,428,1252,BD,BD,BD,BD,BD,BD,12,27,BD,3.9,4,20,43,1.7,6,9.3,BD,5.7,BD,BD,BD,BD,5.6,BD,BD,BD,BD,5.6,BD,BD,BD,BD,BD,BD,BD,BD,170,450,8.2,73,82,BD,BD,BD,BD,BD,BD,3.3,BD,BD,BD,BD,BD,BD,6.6,BD,3.1,BD,BD,BD,BD
Swatara Creek,SWAT-23,10/12/2021,M,9,462,1225,BD,BD,BD,BD,4.5,BD,7.5,15,BD,2.7,BD,15,22,BD,5.2,3.6,6.9,6.9,BD,3.4,BD,9.1,BD,BD,BD,BD,BD,7.2,BD,BD,BD,BD,BD,BD,BD,BD,120,230,8.7,60,31,BD,BD,BD,BD,BD,2.5,3.9,BD,1.9,BD,BD,BD,BD,BD,BD,3.9,BD,BD,BD,BD
Swatara Creek,SWAT-24,10/12/2021,M,7,455,1576,BD,BD,BD,BD,BD,BD,14,38,1.3,3.4,3.5,25,53,0.9,5,0.5,13,23,BD,3.6,BD,15,BD,BD,BD,BD,8,19,BD,2.6,BD,BD,BD,BD,BD,BD,170,420,13,53,47,BD,BD,BD,BD,BD,3.1,8.8,BD,BD,1.4,BD,BD,BD,4.1,BD,4.3,BD,BD,13,BD
Swatara Creek,SWAT-25,10/12/2021,M,8,439,1266,BD,BD,BD,BD,BD,BD,6,14,BD,2.1,BD,16,33,1.9,5.9,3.3,9.1,19,BD,4.4,BD,BD,BD,BD,BD,BD,5.1,11,BD,2.3,BD,BD,BD,BD,BD,BD,69,160,12,37,14,BD,BD,BD,BD,BD,BD,3.2,BD,BD,BD,BD,BD,BD,BD,BD,2.9,BD,BD,BD,6.4
Swatara Creek,SWAT-27,10/12/2021,F,3,316,453,BD,BD,BD,BD,BD,BD,10,7.2,BD,3.4,2.5,17,8.8,1.2,5.4,4.7,BD,BD,BD,BD,BD,6.9,BD,BD,BD,BD,BD,2,BD,1.5,BD,BD,BD,BD,BD,BD,150,88,10,71,42,BD,BD,BD,BD,BD,BD,BD,BD,BD,BD,BD,BD,BD,BD,BD,3.2,BD,BD,BD,36
Swatara Creek,SWAT-28,10/12/2021,M,3,290,335,BD,BD,BD,3.8,BD,BD,7.8,19,BD,3.8,BD,14,25,1,6.5,1.4,7.2,12,BD,3.7,BD,7.2,8.2,BD,BD,BD,BD,9,BD,2.6,BD,BD,BD,BD,BD,BD,74,180,5.4,51,16,BD,BD,BD,BD,BD,BD,2.2,BD,BD,BD,BD,BD,BD,3.8,BD,3.8,BD,BD,BD,BD
Swatara Creek,SWAT-29,10/12/2021,F,4,303,370,BD,BD,BD,BD,BD,BD,11,21,BD,2.7,1.7,17,35,BD,5.2,3.6,6.8,11,BD,BD,BD,8.5,BD,BD,BD,BD,BD,7.4,BD,BD,BD,BD,BD,BD,BD,BD,120,280,9.8,50,28,BD,BD,BD,BD,BD,BD,4.4,BD,BD,BD,BD,BD,BD,3.2,BD,2.8,BD,BD,BD,BD
